ID,Name,Slug,Start Date,Primary Languages,Workload,Is Part of Specialization
i-kvszj4Eei9dA6pYgVc7g,Toledo: Deciphering Secrets of Medieval Spain,toledo-deciphering-secrets-medieval-spain,1528700654116,en,"This is a moderately-paced course and will require, on average, 2 to 4 hours of your time per week.",False
vVQ5Cu8fEeuPxAoVlSpyqQ,How to setup a followers campaign on Twitter,how-to-setup-a-followers-campaign,1627578155498,en,1 hour,False
LaDmWbu3EeqyAQpr8ZeG6Q,Getting Started with Azure DevOps Boards,getting-started-azure-devops-boards,1601048610085,en,2,False
5GGrGM6fEeuv8RLqjtEE6Q,Suicide Prevention,suicide-prevention,1631128800753,en,,False
M9RcAIizEeqGaxK8GeEevQ,Advanced Features with Relational Database Tables Using SQLiteStudio,advanced-features-relational-database-table-sqlitestudio,1588623601549,en,45 minutes,False
R8pC2KkuEeyjPxJkzIUqCw,Pipeline Graphs with Cloud Data Fusion,googlecloud-pipeline-graphs-with-cloud-data-fusion-2yrym,1648772581995,en,1 Hour 30 Minutes,False
r0GnHOZaEees-Q6jQMxlrg,What is Data Science? ,what-is-datascience,1520864132943,en,"3 weeks of study, 2-3 hours/week",False
RJEQ86RxEeyoLArJWUaFJw,Beginnen Sie mit dem Facebook Business Manager,beginnen-sie-mit-dem-facebook-business-manager,1649963656616,de,2 Stunden,False
QjpvECu5EeiXigpZZkAEUg,Introduction to Cloud Identity,cloud-identity,1523294538577,en,1 week of study 15-30 hours/week,False
wqQaIHbCEey5dg6SRLMCBw,"Storing, Retrieving, and Processing JSON data with Python",storing-retrieving-and-processing-json-data-with-python,1644248004698,en,2 hours,False
pGplZawrEeyOLhK9Igm19Q,فن الإقناع | The Art of Persuasion,the-art-of-persuasion,1651747810735,ar,1 أسبوع دراسة، 1 - 2 ساعات/ أسبوع,False
BBWz15fDEeu46w60Xgbpdw,Computer Vision in Microsoft Azure,computer-vision-microsoft-azure,1621458309018,en,"3 weeks of study, 1-2 hours/week.",False
-vwROeU9EemxcA6MYUxOhg,Genetic Epidemiology Foundations,genetic-epidemiology,1611558165869,en,,False
P23qzvP0EeuFqA67ilcVzQ,Projeyi Yürütme: Projeyi Hayata Geçirme,projeyi-yurutme-projeyi-hayata-gecirme,1644339063313,tr,,False
-rt3AvadEeuEcw6azz3PZQ,Series temporales con Facebook’ Prophet y NeuralProphet,series-temporales-facebook-prophet-neuralprophet,1631474409491,es,2 horas,False
wFuyfqktEeywagovoAKHOQ,Hardening Default GKE Cluster Configurations,googlecloud-hardening-default-gke-cluster-configurations-akguq,1648765147251,en,1.5 hours ,False
RVHxrhGZEe2K4gqJREL8qw,Comment intégrer des applications dans le tableau de bord Hootsuite,comment-integrer-des-applications-dans-le-tableau-de-bord-hootsuite,1660601799404,fr,2 heures,False
4vax9lrEEeuvGQoFPpCOaQ,Manage Idea Generation with Brainwriting in Miro ,manage-idea-generation-brainwriting-miro,1612208996262,en,2 hours,False
6xsGFUL5Ee2Yjw7oxhTzHw,Securing Virtual Machines using BeyondCorp Enterprise (BCE),googlecloud-securing-virtual-machines-using-beyondcorp-enterprise-bce-uxca8,1667816587811,en,90 minutes,False
FmGqxlr1Ee27PA7ziJMf8w,Android SDK for Beginners: Build Tools,android-sdk,1675092177643,en,60 minutes,False
At1XBOAAEeWoTg63tTECEQ,Fundamentals of Fluid-Solid Interactions,fluid-solid-interaction,1474213484426,en,"6 weeks of study, 3-4 hours/week",False
M9NAb6yNEeq05Q4jrg0zbQ,Machine Learning with H2O Flow,machine-learning-h2o-flow,1592417042749,en,1.2 hours,False
SaGtBUxbEeyVnArvMUxg9w,Automate Equipment Ordering Prep Process with Power Automate,automate-equipment-ordering-prep-process-power-automate,1639519512833,en,1.5 hours,False
3NXp7nfnEey5dg6SRLMCBw,Gestão Estratégica de Recursos Humanos,gestao-estrategica-de-recursos-humanos,1644004705527,pt,"4 semanas, de 4 a 5 horas por semana.",False
8om3I-4LEeSbxyIACw0OOQ,"Programming Languages, Part A",programming-languages,1469230049590,en,8-16 hours/week,False
OS_7mWMdEeyIUg4Qv2RsBQ,البطالة | Unemployment,unemployment,1652268040452,ar,1 أسبوع دراسة، 1 - 2 ساعات/ أسبوع,False
YpwHVDb5EemE7gr4SGSAsA,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",introduction-tensorflow,1551834020039,en,"4 weeks, 4-5 hours/week",False
cIU8oaTGEei1igqyy64WCg,Learning Technologies Foundations and Applications,learning-technologies-foundations-applications,1547216024917,en,2-5 hours/week,False
05ISI2XaEeadpwpiiuGnhw,Hands-on Text Mining and Analytics,text-mining-analytics,1475535544538,en,,False
RmaqVgNcEeuNYxINo_w6cw,Interactive Machine Learning Dashboards using Plotly Dash,interactive-dashboards-plotly-dash,1601573817044,en,1.5 hours,False
mHe2zmEhEeyIUg4Qv2RsBQ,إنشاء مخطط التقارب في تطبيق ميرو,inshaa-mokhatat-attakarob-fi-tatbiq-miro,1647017033515,ar,ساعتين,False
20cUeRNfEemsugpc-osVtg,Privacy in the USA,privacy-laws-us,1566832236285,en,"6 weeks of 4 hours, plus exam and preparation, total of 40 hours",False
MhVZtvJ4EeyFUAphC_7O7w,Python para el análisis de datos: Pandas y NumPy,python-para-el-anlisis-de-datos-pandas-y-numpy,1657062565015,es,2 horas,False
ES4Dh93pEe2CNwqcW_hXdQ,Google Chat - 日本語版,google-chat-ja,1683928466533,ja,,False
m7mose1KEeqNyQr14bXqFw,La Química de las Reacciones,la-qumica-de-las-reacciones,1604431451981,es,"1 módulo por semana, 4 semanas de duración",False
-OhCD5y-EeizghIFbOmg-g,Spacecraft Dynamics Capstone: Mars Mission,capstone-mars-mission,1543810222870,en,,False
Ami77CU3EeyYSQpZ2Lq_Yw,Quantitative Text Analysis and Evaluating Lexical Style in R,quantitative-text-analysis-and-evaluating-lexical-style-in-r,1634317199763,en,1 hour,False
xJcrKR2mEeurzAoTd29xrw,The Art and Science of Economic Policy,art-and-science-of-economic-policy,1658169729123,en,"5 weeks of study, 3-5 hours/week",False
K0CLlm15Eeem_Q73lEzyLA,Desenvolvendo sua musicalidade,desenvolvendo-musicalidade,1506956300670,pt,"7 weeks of study, 3-5 hours/week",False
fZGtX7LUEeilNhJ2KR9bNg,Introduction to User Experience Principles and Processes,introtoux-principles-and-processes,1540790554037,en,"6 weeks, 2-4 hours per week",False
DJfupMVPEeWLqBIulHpzDw,Economic Growth and Distributive Justice Part II - Maximize Social Wellbeing,economic-growth-part-2,1457578111403,en,"5 weeks of study, 1-3 hours/week",False
PlpNlmwSEe2BqQ42L7X-Zw,Back-end Application Development Capstone Project,backend-development-capstone-project,1678124797691,en,"5 weeks of study, 2-3 hours per week",False
orCUF26dEeW8nw5ORrHGtQ,Finance for Everyone: Markets,finance-markets,1465231618971,en,"4 weeks of study, 1-2 hours/week",False
-qrwz_wsEeyt8Q7irWwuzw,"GST - when, where, who and how much?",gst-when-where-who-and-how-much,1667456928465,en,"4 weeks of study, 3 hours/week",False
uCkst_gQEeaQswpW71qb2A,At the Origins of the Mediterranean Civilization: Archaeology of the City from the Levant to the West - 3rd-1st millennium BC,archaeology-city-levant-west,1494292503273,en,,False
gGl9zF-MEeyIUg4Qv2RsBQ,Calcul de données en SQL,calcul-de-donnees-en-sql,1647357597951,fr,2 heures,False
IUHc0inGEeuSLA4bQRe5jw,Project Initiation and Planning,project-initiation-planning,1611554509674,en,,False
novpoz15Ee2C9xKboNgcdQ,Introduction to Convolutions with TensorFlow,googlecloud-introduction-to-convolutions-with-tensorflow-ztggd,1664211901843,en,50 minutes,False
GxMGwZf3Eeu46w60Xgbpdw,Системное администрирование и службы IT-инфраструктуры,system-administration-it-infrastructure-services-ru4,1624033995410,ru,8–10 часов в неделю.,False
AvyjCoukEeqXEw5raBKHbw,Sentiment Analysis with Deep Learning using BERT,sentiment-analysis-bert,1588358258998,en,120 minutes,False
Xu4XKhYnEey_dQpvWp7EqQ,Building Interactive User Interfaces Using React Library,building-interactive-user-interfaces-using-react-library,1646150520283,en,28 hours,False
tpnHZ7eaEeuhvApQ-8cGMw,Doing Economics: Measuring Climate Change,doing-economics-measuring-climate-change,1651681768442,en,"4 weeks of study, 3-4 hours/week",False
NGAcFkFsEey2HhKRvGWgpQ,Project Management: Control using the Earned Value and Risk,control-and-replan-using-earned-value-and-risk,1639320703255,en,1 week // 5 hours ,False
ayDg4KkqEeyxDg4ukgkVlw,Exploratory Data Analysis Using AI Platform,googlecloud-exploratory-data-analysis-using-ai-platform-ue6op,1648764335422,en,1 hour,False
3Rm7wSxHEeanqw4SNWFJ8Q,Teaching Tips for Tricky English Grammar,teaching-common-grammar-mistakes,1482716950349,en,4-5 hours/week for 4 weeks,False
